lokasi,alamat,latitude,longitude,id,kode_provinsi,bps_kode_kabupaten_kota,jumlah_pengguna,tahun
ALUN ALUN UJUNGBERUNG,"JL. KAUM KALER, CIGENDING, UJUNG BERUNG, KOTA BANDUNG, JAWA BARAT",-6.9,107.701,6.5,32.0,3273.0,812.2,2017.0
BADUNG CAFE,JL. DR. CIPTO NO. 3,-6.9,107.599,78.5,32.0,3273.0,530.8,2017.0
BALAI RIDWAN KAMIL,"JALAN PASIR KOJA, JAMIKA, WEST JAVA, 40181, INDONESIA",-6.9,107.597,90.5,32.0,3273.0,592.6,2017.0
BALAIKOTA BANDUNG,"JL. WASTUKENCANA NO. 2, BABAKAN, CIAMIS, JAWA BARAT",-6.9,107.61,102.5,32.0,3273.0,750.8,2017.0
BEER POINT TRAFFIC CAFE,PASTEUR 11 A,-6.9,107.603,162.5,32.0,3273.0,352.7,2017.0
BPPT,"JALAN CIANJUR NO.34, BATUNUNGGAL, KACAPIRING, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT",-6.9,107.632,210.5,32.0,3273.0,239.2,2017.0
DINAS PERPUSTAKAAN DAN KEARSIPAN,"JL. P. SERAM LUWUK BANGGAO NO.2, CITARUM, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115",-6.9,107.614,318.5,32.0,3273.0,0.0,2017.0
GEREJA HKBP,"JL. L. L. RE.MARTADINATA, CIHAPIT, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT",-6.9,107.624,342.5,32.0,3273.0,171.8,2017.0
GOR CITRA,"JL. CIKUTRA NO.278, NEGLASARI, CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT",-6.9,107.64,354.5,32.0,3273.0,398.4,2017.0
INSPEKTORAT KOTA BANDUNG,"JALAN TERA, KAREES KULON, BABAKAN CIAMIS, WEST JAVA, 40112, INDONESIA",-6.9,107.612,366.5,32.0,3273.0,135.3,2017.0
KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",-6.9,107.575,18.5,32.0,3273.0,214.0,2017.0
KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",-6.9,107.663,30.5,32.0,3273.0,127.8,2017.0
KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",-6.9,107.685,42.5,32.0,3273.0,229.8,2017.0
KECAMATAN ASTANA ANYAR,"JALAN BOJONGLOA NO. 69, ASTANAANYAR, PANJUNAN, ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40242, INDONESIA",-6.9,107.6,54.5,32.0,3273.0,73.2,2017.0
KECAMATAN BABAKAN CIPARAY,"JL. BABAKAN CIPARAY NO.212, BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223, INDONESIA",-6.9,107.583,66.5,32.0,3273.0,93.3,2017.0
LAPANG GASMIN ANTAPANI,"NO., JL. PURWAKARTA NO.216, ANTAPANI, KOTA BANDUNG, JAWA BARAT",-6.9,107.662,390.5,32.0,3273.0,592.7,2017.0
MASJID AGUNG BUAH BATU,"MASJID AGUNG MARGACINTA, JALAN MARGA CINTA, BATUNUNGGAL, WEST JAVA, 40287, INDONESIA",-7.0,107.64,426.5,32.0,3273.0,1671.2,2017.0
MASJID AL ADLA,"KOMPLEK RIUNG BANDUNG, JL. RIUNG TINEUNG, CISARANTEN KIDUL, GEDEBAGE, KOTA BANDUNG, JAWA BARAT",-6.9,107.684,438.5,32.0,3273.0,140.7,2017.0
MASJID AL HIDAYAH,"JL. ARCAMANIK ENDAH, SUKAMISKIN, ARCAMANIK, KOTA BANDUNG, JAWA BARAT",-6.9,107.675,450.5,32.0,3273.0,438.4,2017.0
MASJID AL HIKMAH,"KOMPLEK RIUNG BANDUNG, JALAN RIUNG BANDUNG, CIPAMOKOLAN, RANCASARI, KOTA BANDUNG, JAWA BARAT",-6.9,107.679,462.5,32.0,3273.0,313.0,2017.0
MASJID AL MANAR,"JL. PUTER NO.5, SADANG SERANG, COBLONG, KOTA BANDUNG, JAWA BARAT",-6.9,107.622,486.5,32.0,3273.0,353.8,2017.0
MASJID AL UKHUWAH,"MASJID AL UKHUWAH, JALAN WASTUKANCANA, BABAKAN CIAMIS, BANDUNG CITY, WEST JAVA",-6.9,107.609,498.5,32.0,3273.0,816.8,2017.0
